x_coordinate,y_coordinate,precipitation,air_temperature,ocean_temperature,upper_left_precipitation,upper_left_air_temperature,upper_left_ocean_temperature,top_precipitation,top_air_temperature,top_ocean_temperature,upper_right_precipitation,upper_right_air_temperature,upper_right_ocean_temperature,left_precipitation,left_air_temperature,left_ocean_temperature,right_precipitation,right_air_temperature,right_ocean_temperature,lower_left_precipitation,lower_left_air_temperature,lower_left_ocean_temperature,bottom_precipitation,bottom_air_temperature,bottom_ocean_temperature,lower_right_precipitation,lower_right_air_temperature,lower_right_ocean_temperature,precipitation_2057,air_temperature_2057,ocean_temperature_2057,precipitation_2058,air_temperature_2058,ocean_temperature_2058,precipitation_2059,air_temperature_2059,ocean_temperature_2059,ice_velocity
-2188800.0,972800.0,1210.63879395,257.149200439,272.810211182,1271.27685547,257.428588867,273.339294434,514.64630127,256.639160156,272.539215088,456.062011719,255.957519531,272.04385376,2050.96875,263.031860352,273.254394531,591.499511719,252.361679077,272.038543701,0.0,0.0,0.0,0.0,0.0,0.0,948.952148438,259.196472168,271.841766357,1357.0402832,258.15927124,272.874481201,1608.31469727,259.413970947,272.763519287,1181.45788574,256.496490479,272.841186523,0.802220404148
-2067200.0,972800.0,591.499511719,252.361679077,272.038543701,514.64630127,256.639160156,272.539215088,456.062011719,255.957519531,272.04385376,0.0,0.0,0.0,1210.63879395,257.149200439,272.810211182,389.099975586,252.608886719,271.749359131,0.0,0.0,0.0,948.952148438,259.196472168,271.841766357,479.556488037,255.827529907,271.848236084,666.539001465,253.399703979,272.123474121,871.100708008,254.411483765,272.015258789,542.56829834,251.558395386,272.080718994,0.134417504072
-1945600.0,972800.0,389.099975586,252.608886719,271.749359131,456.062011719,255.957519531,272.04385376,0.0,0.0,0.0,0.0,0.0,0.0,591.499511719,252.361679077,272.038543701,354.741638184,253.585037231,271.592041016,948.952148438,259.196472168,271.841766357,479.556488037,255.827529907,271.848236084,635.430053711,253.540817261,271.710662842,444.517974854,253.491149902,271.842773438,548.029541016,254.250595093,271.736785889,300.663726807,251.456573486,271.784301758,0.010560314171
-1824000.0,972800.0,354.741638184,253.585037231,271.592041016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.099975586,252.608886719,271.749359131,0.0,0.0,0.0,479.556488037,255.827529907,271.848236084,635.430053711,253.540817261,271.710662842,357.445953369,249.554946899,271.603820801,525.679199219,254.432785034,271.699462891,535.452819824,254.85244751,271.582550049,236.356567383,252.521438599,271.633636475,0.23878492415
-1337600.0,972800.0,232.496795654,259.962341309,271.836364746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.600753784,259.165283203,271.739440918,189.113327026,252.342071533,271.796722412,169.700149536,248.185913086,271.765228271,351.531219482,259.945709229,271.906555176,390.14050293,259.718505859,271.885742188,336.003295898,257.916442871,271.882568359,1560.76489258
-729600.0,972800.0,162.031021118,245.643493652,271.827606201,0.0,0.0,0.0,196.162261963,249.642944336,271.738037109,126.897689819,245.587722778,271.974151611,0.0,0.0,0.0,65.4257049561,243.641815186,271.940948486,240.448913574,246.6328125,271.5909729,119.497573853,243.835128784,271.817504883,59.6234359741,242.897216797,271.91583252,227.132293701,247.414230347,271.881988525,258.528381348,247.429550171,271.859466553,213.552200317,247.242630005,271.839904785,354.050231934
-608000.0,972800.0,65.4257049561,243.641815186,271.940948486,196.162261963,249.642944336,271.738037109,126.897689819,245.587722778,271.974151611,68.3885498047,243.695159912,271.933349609,162.031021118,245.643493652,271.827606201,84.2139511108,245.529891968,272.029052734,119.497573853,243.835128784,271.817504883,59.6234359741,242.897216797,271.91583252,50.7176361084,241.760620117,272.076599121,157.409576416,245.035354614,271.995330811,158.607696533,244.878677368,271.972808838,110.16809082,245.069992065,271.953277588,56.4494361877
-486400.0,972800.0,84.2139511108,245.529891968,272.029052734,126.897689819,245.587722778,271.974151611,68.3885498047,243.695159912,271.933349609,92.4456710815,243.415481567,272.239074707,65.4257049561,243.641815186,271.940948486,94.2578201294,241.348510742,272.024536133,59.6234359741,242.897216797,271.91583252,50.7176361084,241.760620117,272.076599121,53.1307106018,239.983337402,272.00491333,154.649200439,246.566970825,272.083435059,138.531616211,246.153488159,272.060913086,116.13961792,246.745147705,272.041381836,342.668701172
-364800.0,972800.0,94.2578201294,241.348510742,272.024536133,68.3885498047,243.695159912,271.933349609,92.4456710815,243.415481567,272.239074707,85.0725784302,239.641189575,272.407562256,84.2139511108,245.529891968,272.029052734,58.2136459351,238.374313354,272.36541748,50.7176361084,241.760620117,272.076599121,53.1307106018,239.983337402,272.00491333,56.0698471069,235.994003296,271.990997314,154.891189575,241.86756897,272.113616943,129.079833984,241.254562378,272.013397217,117.168640137,242.283950806,272.026306152,0.0179292559624
-243200.0,972800.0,58.2136459351,238.374313354,272.36541748,92.4456710815,243.415481567,272.239074707,85.0725784302,239.641189575,272.407562256,59.7136154175,235.621292114,272.341705322,94.2578201294,241.348510742,272.024536133,51.2083435059,235.199081421,272.187133789,53.1307106018,239.983337402,272.00491333,56.0698471069,235.994003296,271.990997314,51.6233482361,232.017745972,272.061401367,109.486976624,238.569625854,272.429351807,87.5205154419,237.8074646,272.341094971,71.6525115967,239.192077637,272.284423828,1.59530615807
-121600.0,972800.0,51.2083435059,235.199081421,272.187133789,85.0725784302,239.641189575,272.407562256,59.7136154175,235.621292114,272.341705322,57.3244857788,233.184356689,272.460510254,58.2136459351,238.374313354,272.36541748,49.123462677,234.272979736,272.179168701,56.0698471069,235.994003296,271.990997314,51.6233482361,232.017745972,272.061401367,54.2957115173,232.004562378,272.312866211,79.4682312012,235.243682861,272.298858643,69.3892440796,234.306610107,272.189819336,53.3380088806,235.650527954,272.175048828,3.92587208748
0.0,972800.0,49.123462677,234.272979736,272.179168701,59.7136154175,235.621292114,272.341705322,57.3244857788,233.184356689,272.460510254,51.2739295959,231.294403076,272.329864502,51.2083435059,235.199081421,272.187133789,39.8027534485,231.778808594,272.264099121,51.6233482361,232.017745972,272.061401367,54.2957115173,232.004562378,272.312866211,42.4057693481,229.029937744,272.472381592,63.2127532959,234.04447937,272.285919189,54.3823852539,233.679122925,272.1746521,43.462928772,234.373733521,272.226898193,11.0288476944
